Provenance2,ba_per_ha
64,7.5612853388339065
AS1,19.124342874205425
AS10,22.8569476457518
Asubima 2,5.281263912012403
Bamoro,12.103533339531197
Brazil 702,13.993586895954289
Brazil Clone,10.745707623845355
Catie,10.6831069230108
Dunkwa,1.8747863778386842
Floresteca Brazil,14.556295294382991
GO1,18.267373967457225
GO5,9.7200636274059
Goaso,9.671331541362713
Honduras,11.463643097777695
India Dryland,12.645747476360588
Jimira,8.778654400258754
KVTC,8.172219270748835
Kihuhwi,12.305704354862657
Kihuhwi P68,24.09317504062868
Kiroka,10.68654860543884
LO,13.432570398331094
Latene,12.021219397096365
Luasong,13.457303316685246
Miro 1,7.169497933007823
Miro 2,9.157647601309375
Miro 3,8.590932069393952
Mtibwa,11.674275843321947
Mtibwa P61,17.513000589843664
Nigeria P67,19.333489418463163
Nilambur 5,12.999034174032133
Nkawie,9.465534960699879
Oume,8.955286618168175
P80,3.065261213038286
Pampawie,4.814125647242013
Panama,13.305001077596039
Perlis,6.445812593552915
Sangoue,14.193961379772535
TA1,22.59584728012756
TA4,5.405640883069702
Tain II,4.854499743306002
Taliwas,11.942861756917914
Topslip,16.604172029365888
Worawora,8.30536474034919
